id,Nombre,codigo,localidad_id,active
1003,QUIROGA I,002209,18,TRUE
318,EL BOSQUE SUR ORIENTAL,002628,5,TRUE
54,LA CITA,008504,1,TRUE
1030,CEDRITOS DEL SUR,002574,19,TRUE
56,BELLA SUIZA,008404,1,TRUE
512,JACQUELINE,004517,8,TRUE
728,EL CEDRO,005629,10,TRUE
1031,ESPINO I,002449,19,TRUE
399,LA CABANA,001348,5,FALSE
1034,CERRO COLORADO,002575,19,TRUE
729,TIBABUYES,009257,11,TRUE
1002,OLAYA,002201,18,TRUE
167,LA PERSEVERANCIA,008104,3,TRUE
986,JORGE GAITAN CORTES,004210,16,TRUE
1091,EL MOCHUELO III URBANO,002588,19,TRUE
59,PARAMO III RURAL,108114,2,TRUE
891,ESCUELA MILITAR,005310,12,TRUE
847,SANTA CECILIA,009256,11,FALSE
661,VILLA GLADYS,005637,10,TRUE
1037,QUIBA,002530,19,TRUE
211,QUINDIO,001318,4,TRUE
1099,MARIA CANO,002429,19,TRUE
1100,LA PRIMAVERA I,002443,19,TRUE
947,LA FRAGUITA,002101,15,TRUE
956,VILLA MAYOR ORIENTAL,002309,18,TRUE
957,SANTANDER SUR,002302,18,TRUE
439,ESCUELA GENERAL SANTANDER,002405,18,TRUE
367,EL MOCHUELO II URBANO,002598,19,TRUE
72,BARRANCAS NORTE,008506,1,TRUE
140,EL CHICO,008308,2,TRUE
893,SAN FERNANDO OCCIDENTAL,005204,12,TRUE
514,SAN PABLO BOSA,004524,7,TRUE
858,AURES,009205,11,TRUE
1004,QUIROGA,002202,18,TRUE
749,VILLA SAGRARIO,005658,10,TRUE
515,EL RETAZO,004533,7,TRUE
736,EL DORADO,005664,11,TRUE
1005,QUIROGA CENTRAL,002203,18,TRUE
1042,EL MOCHUELO IV,104127,19,TRUE
738,SANTA CECILIA,207801,11,TRUE
848,COSTA AZUL,009208,11,TRUE
64,GINEBRA,008405,1,TRUE
195,LA HORTUA,001208,15,TRUE
196,EL GUAVIO,003205,17,TRUE
517,CATALINA II,004540,8,TRUE
65,BATAN,009118,11,TRUE
739,LA SERENA,005613,11,TRUE
663,EL CARMEN FONTIBON,006408,9,TRUE
849,NIZA SUR,009109,11,TRUE
740,BOLIVIA,005675,10,TRUE
984,LA CAMELIA,004309,16,TRUE
664,VILLA CARMENZA,006417,9,TRUE
1102,LOS TRES REYES,002446,19,TRUE
1107,PERDOMO ALTO,002450,19,TRUE
626,TEJAR,004408,16,TRUE
175,SAN VICTORINO,006105,14,TRUE
850,LA CHUCUA,009221,11,TRUE
66,BOSQUE DE PINOS,008520,1,TRUE
62,ESTRELLA DEL NORTE,008519,1,TRUE
1108,BELLA FLOR,002580,19,TRUE
852,ESCUELA DE CARABINEROS,009132,11,TRUE
191,SAN ANTONIO,002102,15,TRUE
192,BELEN,003204,17,TRUE
372,TOCAIMITA ORIENTAL,202410,5,TRUE
669,LAS NAVETAS,005672,9,TRUE
427,SANTA LUCIA,002205,18,TRUE
178,LA CAPUCHINA,003108,17,TRUE
68,SANTA BARBARA OCCIDENTAL,008417,1,TRUE
931,LA ESMERALDA,005111,13,TRUE
1093,ESTRELLA DEL SUR,002540,19,TRUE
259,SAN BLAS,001106,4,TRUE
671,FERROCAJA FONTIBON,006405,9,TRUE
69,SEMINARIO,008302,2,TRUE
622,TIMIZA B,004530,8,TRUE
521,LA CECILIA,004532,8,TRUE
854,ALTOS DE CHOZICA,009222,11,TRUE
260,LAS MERCEDES,001107,4,TRUE
1048,CIUDAD BOLIVAR RURAL III,104118,19,TRUE
855,VILLA ELISA,009207,11,TRUE
892,LA PATRIA,005305,12,TRUE
141,POLO CLUB,007401,12,TRUE
748,CIUDADELA COLSUBSIDIO,005650,11,TRUE
628,NUEVA YORK,004549,8,TRUE
895,PARQUE DISTRITAL SALITRE,005112,13,TRUE
63,MAZUREN,009110,11,TRUE
73,GINEBRA II,008425,1,TRUE
750,EL MINUTO DE DIOS,005601,11,TRUE
674,NORMANDIA OCCIDENTAL,005606,10,TRUE
675,EL TINTAL,105104,9,TRUE
676,ZONA FRANCA,006520,9,TRUE
630,ALQUERIA LA FRAGUA,004543,8,TRUE
678,VILLEMAR,006406,9,TRUE
76,SANTA CECILIA NORTE,008543,1,TRUE
1054,SIERRA MORENA,002440,19,TRUE
1055,SIERRA MORENA II,002444,19,TRUE
859,SANTA HELENA,009131,11,TRUE
860,LAGO DE SUBA,009220,11,TRUE
77,PARAMO URBANO I,008420,1,TRUE
78,PARAMO URBANO,208104,2,TRUE
1057,EL MOCHUELO URBANO,002585,19,TRUE
941,EL PROGRESO,004111,14,TRUE
857,AURES II,009206,11,TRUE
525,VILLA DEL RIO,004546,8,TRUE
1058,EL MOCHUELO III,104128,19,TRUE
1059,QUIBA RURAL,204128,19,TRUE
949,SAN JOSE SUR,001401,18,TRUE
660,MARANDU,005665,10,TRUE
742,SAN ANTONIO ENGATIVA,005679,10,TRUE
1109,EL PENON DEL CORTIJO,002433,19,TRUE
732,QUIRIGUA II,005684,10,TRUE
413,EL BOSQUE,002609,5,TRUE
144,SAN LUIS ALTOS DEL CABO,008316,2,TRUE
79,MONACO,009111,11,TRUE
80,VICTORIA NORTE,009104,11,TRUE
754,EL CORTIJO,005634,10,TRUE
81,BARRANCAS,008507,1,TRUE
757,FLORENCIA,005620,10,TRUE
182,HOYA SAN CRISTOBAL,101301,4,TRUE
532,VILLA ANNY II,004599,7,TRUE
183,SANTA INES,003107,17,TRUE
952,SOSIEGO SUR,001404,18,TRUE
317,BRISAS DEL LLANO,002635,5,TRUE
862,NIZA SUBA,009112,11,TRUE
1063,EL MIRADOR,002570,19,TRUE
680,LA LAGUNA FONTIBON,006415,9,TRUE
744,PARIS,005619,10,TRUE
530,GUALOCHE,004552,7,TRUE
863,VEREDA SUBA NARANJOS,009249,11,TRUE
1076,LOS LAURELES II,002544,19,TRUE
82,SANTA BARBARA CENTRAL,008415,1,TRUE
758,CAMPO EUCARISTICO,005114,13,TRUE
759,POTOSI,005401,11,TRUE
70,LOS CEDROS,008515,1,TRUE
613,SABANA GRANDE,006521,9,TRUE
432,PARQUE EL TUNAL,002410,19,TRUE
536,BARLOVENTO,002417,19,TRUE
147,EL REFUGIO,008303,2,TRUE
1012,GRANJAS SAN PABLO,001412,18,TRUE
864,ATENAS,009119,11,TRUE
865,TTES DE COLOMBIA,009223,11,TRUE
951,CIUDAD JARDIN SUR,001204,18,TRUE
84,BOSQUE DE PINOS III,008538,1,TRUE
85,SANTA BARBARA ORIENTAL,008413,1,TRUE
1014,MARRUECOS,001418,18,TRUE
765,LA GRANJA,005610,10,TRUE
1000,PARQUE NACIONAL URBANO,008114,17,TRUE
423,TUNJUELITO,002508,18,TRUE
86,BOSQUE DE PINOS III RURAL,108113,1,TRUE
764,ENGATIVA EL DORADO,106301,10,TRUE
1114,LOS ALPES SUR,002559,19,TRUE
944,SANTA ISABEL SUR,004107,16,TRUE
87,SAN ISIDRO,008317,2,TRUE
867,IBERIA,009115,11,TRUE
868,EL RINCON NORTE,009204,11,TRUE
685,GUADUAL FONTIBON,006407,9,TRUE
903,LA AURORA,007407,12,TRUE
768,EL GACO,005669,10,TRUE
686,BRISAS ALDEA FONTIBON,006414,9,TRUE
687,LOS ANGELES,005623,10,TRUE
91,PARAMO URBANO III,008422,2,TRUE
154,LA ESPERANZA,208107,2,TRUE
991,AUTOPISTA SUR,004404,16,TRUE
953,SENA,002106,16,TRUE
642,TERMINAL DE TRANSPORTES,006319,9,TRUE
870,LOS NARANJOS,009201,11,TRUE
773,JULIO FLOREZ,005403,12,TRUE
880,RAFAEL URIBE,007312,12,TRUE
698,EL SALITRE,005110,13,TRUE
774,LA CAROLINA DE SUBA,009236,11,TRUE
186,SAN BERNARDINO,003201,17,TRUE
441,SAN CARLOS,002501,18,TRUE
92,SAN JOSE DEL PRADO,009106,11,TRUE
95,SAN PATRICIO,008418,1,TRUE
689,CIUDAD HAYUELOS,006320,9,TRUE
157,SAN FELIPE,007403,12,TRUE
249,CIUDAD LONDRES I,001346,5,TRUE
158,PARAMO II,108108,2,TRUE
614,EL TINTAL II,006522,9,TRUE
188,EDUARDO SANTOS,004105,15,TRUE
1095,ARBORIZADORA ALTA,002573,19,TRUE
97,CEDRO NARVAEZ,008511,1,TRUE
776,SANTA TERESA DE SUBA,009238,11,TRUE
871,EL RINCON,009202,11,TRUE
872,CIUDAD JARDIN NORTE,009108,11,TRUE
263,SAN PEDRO,001306,4,TRUE
96,CEDRITOS,008512,1,TRUE
777,BOLIVIA ORIENTAL,005640,11,TRUE
778,SANTA ROSA,005402,11,TRUE
874,PRADO VERANIEGO NORTE,009116,11,TRUE
875,RINCON DE SUBA,009237,11,TRUE
434,VENECIA OCCIDENTAL,002403,8,TRUE
876,CIUDAD HUNZA,009235,11,TRUE
99,LOS CEDROS ORIENTAL,008509,1,TRUE
388,GRANADA SUR,002541,5,TRUE
100,USAQUEN,008407,1,TRUE
877,PASADENA,009125,11,TRUE
1092,NUEVA ESPERANZA,204106,19,TRUE
751,JOSE JOAQUIN VARGAS,005101,12,TRUE
101,ESTORIL,009126,11,TRUE
1088,LA ALAMEDA,002523,19,TRUE
618,VEREDA EL TINTAL URBANO,205101,8,TRUE
392,CIUDAD LONDRES,001349,5,TRUE
619,OSORIO II,105203,8,TRUE
294,EL PROGRESO USME,002613,5,TRUE
295,TOCAIMITA SUR,102412,5,TRUE
1080,RAFAEL ESCAMILLA,002421,19,TRUE
296,LA ORQUIDEA DE USME,002614,5,TRUE
1081,GALICIA,002427,19,TRUE
505,SAN BERNARDINO XVIII,205318,7,FALSE
611,EL VERGEL ORIENTAL,006529,8,TRUE
297,BRAZUELOS OCCIDENTAL RURAL,104130,19,TRUE
1018,DIANA TURBAY,001421,18,TRUE
1096,BELLAVISTA LUCERO ALTO,002560,19,TRUE
1087,BELLA FLOR SUR,002582,19,TRUE
414,EL BOSQUE CENTRAL I,002608,5,TRUE
415,CHAPINERITO,002610,5,TRUE
396,DONA LILIANA,001345,5,TRUE
395,EL CURUBO,002606,5,TRUE
190,SANTA BARBARA,003203,17,TRUE
298,LOS ARRAYANES,102401,5,TRUE
752,LA CABANA,005508,10,TRUE
301,USMINIA,002538,5,TRUE
74,CAOBOS SALAZAR,008518,1,TRUE
666,EL CHANCO RURAL III,105403,9,TRUE
310,VILLA ANITA,002619,5,TRUE
187,EGIPTO,003105,17,TRUE
667,SAN IGNACIO,005607,10,TRUE
303,DESARROLLO BRAZUELOS,002592,5,TRUE
302,LA ESPERANZA DE USME,002615,5,TRUE
261,SAN ISIDRO,001406,18,TRUE
668,LA GIRALDA,006420,9,TRUE
257,BOSQUE DE LOS ALPES,001339,4,TRUE
189,SAN FRANCISCO RURAL,003215,17,TRUE
312,EL REFUGIO I,002617,5,TRUE
313,EL NUEVO PORTAL II RURAL,202506,5,TRUE
304,PUERTA AL LLANO RURAL,202511,5,TRUE
308,VILLA ISRAEL,002594,5,TRUE
1097,QUIBA BAJO,104110,19,TRUE
314,PUERTA AL LLANO DE USME,002618,5,TRUE
401,MOCHUELO ALTO,002596,19,TRUE
315,EL PORTAL DEL DIVINO,002630,5,TRUE
851,CASA BLANCA SUBA I,009258,11,TRUE
316,EL TUNO,002634,5,TRUE
132,LA ESPERANZA,007305,12,TRUE
884,MUEQUETA,007307,12,TRUE
319,CENTRO USME RURAL,102601,5,TRUE
825,NIZA NORTE,009123,11,TRUE
405,TIBAQUE II,201309,5,TRUE
1090,CANDELARIA LA NUEVA,002531,19,TRUE
442,NUEVO MUZU,002409,19,TRUE
960,VILLA MAYOR,002311,18,TRUE
535,PRIMAVERA II,002428,19,TRUE
1075,LAS BRISAS,002430,19,TRUE
320,EL BOSQUE SUR ORIENTAL RURAL I,102309,5,TRUE
853,NUEVA TIBABUYES,009224,11,TRUE
324,LA REQUILINA,002632,5,TRUE
161,SIBERIA,008221,2,TRUE
325,CENTRO USME URBANO,002599,5,TRUE
328,CENTRO USME,202601,5,TRUE
331,CENTRO USME RURAL II,102603,5,TRUE
139,CHICO NORTE,008307,2,TRUE
1028,PASQUILLA URBANA,204104,19,TRUE
670,CENTRO FONTIBON,006410,9,TRUE
612,EL JAZMIN,205209,8,FALSE
265,ALTOS DEL POBLADO,001333,4,TRUE
504,OSORIO XXIII,105223,7,TRUE
134,CHAPINERO NORTE,008214,13,TRUE
1130,SANTA ROSA ALTA,103101,20,TRUE
747,SANTA CECILIA,005638,10,TRUE
1133,SANTA ROSA BAJA,103103,20,TRUE
351,LAS VIOLETAS RURAL,102118,5,TRUE
708,SANTA HELENITA,005608,10,TRUE
193,LA PENA,003206,3,TRUE
400,LILIANA,102211,5,TRUE
38,LISBOA,008513,1,TRUE
603,INTERINDUSTRIAL,006527,9,TRUE
1135,PENALISA,103206,20,TRUE
1138,NAZARETH,103106,20,TRUE
1140,LAS ANIMAS,103104,20,TRUE
1141,LAS SOPAS,103109,20,TRUE
1142,SAN ANTONIO,109102,20,TRUE
1143,EL TOLDO,109101,20,TRUE
1144,CAPITOLIO,109112,20,TRUE
1147,SAN JUAN URBANO,209104,20,TRUE
965,MURILLO TORO,002310,18,TRUE
672,MORAVIA,006519,9,TRUE
206,LA ARBOLEDA RURAL,101309,5,TRUE
710,ENGATIVA ZONA URBANA,005636,10,TRUE
352,PEPINITOS,102405,5,TRUE
964,SANTIAGO PEREZ,002304,18,TRUE
353,TIHUAQUE,001340,5,TRUE
356,DESARROLLO BRAZUELOS I,002556,5,TRUE
358,COMUNEROS,002543,5,TRUE
359,SERRANIAS,002542,5,TRUE
621,TOCAREMA,004565,8,TRUE
281,CIUDAD BERNA,001202,15,TRUE
647,KASANDRA,006532,9,TRUE
648,EL CHANCO RURAL II,105401,9,TRUE
715,VILLA LUZ,005614,10,TRUE
362,PORVENIR,002589,5,TRUE
930,CENTRO ADMINISTRATIVO OCC.,005109,13,TRUE
210,LAS LOMAS,001409,18,TRUE
397,LA CABANA,002527,5,TRUE
1066,SUMAPAZ,002553,19,TRUE
508,CATALINA,004545,8,TRUE
207,ARRAYANES V,002625,18,TRUE
886,SAN LUIS,007202,13,TRUE
283,CORDOBA,001303,4,TRUE
198,LOS LACHES,003207,4,TRUE
199,MODELO SUR,001209,4,TRUE
762,AUTOPISTA MEDELLIN,005611,10,TRUE
763,SANTA MONICA,005641,10,TRUE
278,ALTAMIRA,001315,4,TRUE
363,DANUBIO,002519,18,TRUE
507,ARGELIA II,004583,8,TRUE
650,SABANA DEL DORADO,005657,10,TRUE
171,LA FAVORITA,006104,14,TRUE
1032,SIERRA MORENA,002438,19,FALSE
204,LA PE?A RURAL,201404,3,TRUE
1035,BELLA FLOR SUR RURAL,104107,19,TRUE
1033,ISMAEL PERDOMO,002414,19,TRUE
208,NARINO SUR,001207,15,TRUE
209,SAN BLAS II,001113,4,TRUE
42,LA PRADERA NORTE,008502,1,TRUE
510,ANTONIA SANTOS,004570,7,TRUE
364,ARRAYANES VI,002637,18,TRUE
365,DANUBIO II,002577,18,TRUE
766,EL MUELLE,005652,10,TRUE
398,MARICHUELA,002529,5,TRUE
200,GIRARDOT,003211,3,TRUE
1113,LAS ACACIAS,002513,19,TRUE
